iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.1349,15.4316,122.43,144.06,153.02,153.14,0.6874,0,correlation 0.69 <= 0.7
2,78.0771,15.3291,92.49,153.00,140.66,155.70,0.1758,0,correlation 0.18 <= 0.7
2,78.0870,15.3747,95.42,149.00,141.33,153.78,0.3862,0,correlation 0.39 <= 0.7
2,78.1170,15.3668,121.00,111.00,149.19,153.20,0.6627,0,correlation 0.66 <= 0.7
2,78.0930,15.4033,99.99,145.00,139.20,153.78,0.4172,0,correlation 0.42 <= 0.7
2,78.1310,15.4157,119.00,111.00,151.43,153.06,0.6671,0,correlation 0.67 <= 0.7
2,78.1166,15.3450,119.00,136.58,149.69,153.49,0.6619,0,correlation 0.66 <= 0.7
2,78.0781,15.3882,89.00,149.88,139.29,154.64,0.1408,0,correlation 0.14 <= 0.7
2,78.1184,15.4666,107.70,152.17,144.28,154.94,0.5119,0,correlation 0.51 <= 0.7
2,78.0588,15.3201,87.72,155.00,140.38,156.71,-0.0793,0,correlation -0.08 <= 0.7
2,78.0686,15.3734,85.87,155.00,139.84,156.32,0.0240,0,correlation 0.02 <= 0.7
2,78.0735,15.3679,86.52,157.00,140.13,155.84,0.1044,0,correlation 0.10 <= 0.7
2,78.0928,15.3786,97.00,147.00,140.34,153.17,0.3838,0,correlation 0.38 <= 0.7
2,78.0586,15.4481,80.00,151.00,150.78,155.78,0.0259,0,correlation 0.03 <= 0.7
2,78.1504,15.3835,142.38,158.05,161.48,150.75,0.5580,0,correlation 0.56 <= 0.7
2,78.0814,15.4502,84.24,135.00,141.24,154.57,0.2489,0,correlation 0.25 <= 0.7
2,78.0845,15.4041,89.00,149.00,140.27,152.71,0.4598,0,correlation 0.46 <= 0.7
2,78.0950,15.3815,100.15,147.00,140.50,154.13,0.3941,0,correlation 0.39 <= 0.7
2,78.1515,15.3556,147.00,145.45,164.51,151.27,0.4790,0,correlation 0.48 <= 0.7
2,78.0926,15.4413,93.46,134.22,138.25,153.78,0.3508,0,correlation 0.35 <= 0.7
2,78.1005,15.4144,99.23,143.00,142.14,154.74,0.4394,0,correlation 0.44 <= 0.7
2,78.0873,15.3496,143.00,147.62,141.39,153.62,0.2738,0,correlation 0.27 <= 0.7
2,78.1550,15.3373,151.30,140.00,166.69,150.48,0.3953,0,correlation 0.40 <= 0.7
2,78.0939,15.3366,107.00,145.00,143.25,151.57,0.4487,0,correlation 0.45 <= 0.7
2,78.0658,15.4541,82.00,159.86,145.25,155.11,0.1808,0,correlation 0.18 <= 0.7
2,78.1232,15.3783,113.00,134.00,150.95,154.15,0.5458,0,correlation 0.55 <= 0.7
