index,sample,lyr_image,nya_image,event_utc,lat1,lat2,lon1,lon2,n_lines,lyr_mean_km,lyr_median_km,lyr_std_km,lyr_sem_km,nya_mean_km,nya_median_km,nya_std_km,nya_sem_km,both_mean_km,both_median_km,both_std_km,both_sem_km,lyr_mean_profile_peak_km,nya_mean_profile_peak_km,both_mean_profile_peak_km,out_dir
0,greyscale,BACC_LYR_20200103_090001.png,BACC_NYA_20200103_090001.png,2020-01-03 09:00:01,76.6,78.6,8.0,18.0,15,140.9,148.0,20.9,5.4,135.7,140.0,29.2,7.5,138.3,147.0,25.1,4.6,146.0,154.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
0,RGBproduct,BACC_LYR_20200103_090001.png,BACC_NYA_20200103_090001.png,2020-01-03 09:00:01,76.6,78.6,8.0,18.0,15,142.9,148.0,19.2,5.0,137.7,140.0,27.0,7.0,140.3,147.0,23.2,4.2,152.0,154.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
1,greyscale,BACC_LYR_20200103_090002.png,BACC_NYA_20200103_090002.png,2020-01-03 09:00:02,76.6,78.6,8.0,18.0,16,137.1,139.0,19.7,4.9,131.4,133.0,20.8,5.2,134.2,134.0,20.1,3.6,146.0,154.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
1,RGBproduct,BACC_LYR_20200103_090002.png,BACC_NYA_20200103_090002.png,2020-01-03 09:00:02,76.6,78.6,8.0,18.0,15,134.1,132.0,18.8,4.9,128.1,132.0,19.2,5.0,131.1,132.0,18.9,3.5,146.0,152.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
2,greyscale,BACC_LYR_20200103_090003.png,BACC_NYA_20200103_090003.png,2020-01-03 09:00:03,76.6,78.6,8.0,18.0,13,142.5,144.0,17.0,4.7,131.5,134.0,25.5,7.1,137.0,137.0,21.9,4.3,144.0,136.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
2,RGBproduct,BACC_LYR_20200103_090003.png,BACC_NYA_20200103_090003.png,2020-01-03 09:00:03,76.6,78.6,8.0,18.0,11,138.4,142.0,15.8,4.8,136.2,136.0,23.4,7.1,137.3,139.0,19.5,4.2,144.0,136.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
3,greyscale,BACC_LYR_20200103_090004.png,BACC_NYA_20200103_090004.png,2020-01-03 09:00:04,76.6,78.6,8.0,18.0,14,143.6,146.0,19.6,5.2,140.3,142.0,22.8,6.1,141.9,142.0,20.9,4.0,146.0,152.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
3,RGBproduct,BACC_LYR_20200103_090004.png,BACC_NYA_20200103_090004.png,2020-01-03 09:00:04,76.6,78.6,8.0,18.0,17,137.5,138.0,22.4,5.4,136.7,142.0,23.5,5.7,137.1,140.0,22.6,3.9,148.0,142.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
4,greyscale,BACC_LYR_20200103_090005.png,BACC_NYA_20200103_090005.png,2020-01-03 09:00:05,76.6,78.6,8.0,18.0,9,152.0,146.0,17.4,5.8,144.4,152.0,27.5,9.2,148.2,150.0,22.6,5.3,142.0,160.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
4,RGBproduct,BACC_LYR_20200103_090005.png,BACC_NYA_20200103_090005.png,2020-01-03 09:00:05,76.6,78.6,8.0,18.0,11,148.0,144.0,20.2,6.1,145.8,152.0,26.1,7.9,146.9,145.0,22.8,4.9,144.0,140.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
