index,sample,lyr_image,nya_image,event_utc,lat1,lat2,lon1,lon2,n_lines,lyr_mean_km,lyr_std_km,lyr_sem_km,nya_mean_km,nya_std_km,nya_sem_km,both_mean_km,both_std_km,both_sem_km,lyr_mean_profile_peak_km,nya_mean_profile_peak_km,both_mean_profile_peak_km,out_dir
0,greyscale,BACC_LYR_20200103_083746.png,BACC_NYA_20200103_083746.png,2020-01-03 08:37:46,76.6,77.6,8.0,16.6,53,140.4151,24.8483,3.4132,134.3774,30.7072,4.2180,137.3962,27.9635,2.7161,152.0000,154.0000,152.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
0,RGBproduct,BACC_LYR_20200103_083746.png,BACC_NYA_20200103_083746.png,2020-01-03 08:37:46,76.6,77.6,8.0,16.6,49,143.6327,27.4914,3.9273,143.1020,28.1575,4.0225,143.3673,27.6839,2.7965,160.0000,154.0000,164.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
1,greyscale,BACC_LYR_20200103_083747.png,BACC_NYA_20200103_083747.png,2020-01-03 08:37:47,76.6,77.6,8.0,16.6,53,141.6604,27.6621,3.7997,141.8113,28.7864,3.9541,141.7358,28.0952,2.7288,156.0000,156.0000,156.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
1,RGBproduct,BACC_LYR_20200103_083747.png,BACC_NYA_20200103_083747.png,2020-01-03 08:37:47,76.6,77.6,8.0,16.6,50,148.0000,26.4282,3.7375,146.0400,28.2886,4.0006,147.0200,27.2534,2.7253,162.0000,166.0000,166.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
2,greyscale,BACC_LYR_20200103_083748.png,BACC_NYA_20200103_083748.png,2020-01-03 08:37:48,76.6,77.6,8.0,16.6,44,144.1818,27.2962,4.1151,137.0000,31.9054,4.8099,140.5909,29.7393,3.1702,162.0000,156.0000,156.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
2,RGBproduct,BACC_LYR_20200103_083748.png,BACC_NYA_20200103_083748.png,2020-01-03 08:37:48,76.6,77.6,8.0,16.6,39,148.3590,29.5221,4.7273,145.2821,31.7274,5.0805,146.8205,30.4843,3.4517,168.0000,166.0000,166.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
3,greyscale,BACC_LYR_20200103_083749.png,BACC_NYA_20200103_083749.png,2020-01-03 08:37:49,76.6,77.6,8.0,16.6,42,138.4762,35.7302,5.5133,137.3810,34.3483,5.3001,137.9286,34.8386,3.8012,166.0000,162.0000,162.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
3,RGBproduct,BACC_LYR_20200103_083749.png,BACC_NYA_20200103_083749.png,2020-01-03 08:37:49,76.6,77.6,8.0,16.6,37,145.6216,37.3269,6.1365,148.1081,31.1089,5.1143,146.8649,34.1457,3.9694,168.0000,162.0000,164.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
4,greyscale,BACC_LYR_20200103_083750.png,BACC_NYA_20200103_083750.png,2020-01-03 08:37:50,76.6,77.6,8.0,16.6,37,135.4595,35.8008,5.8856,129.5135,36.8704,6.0614,132.4865,36.2137,4.2098,156.0000,166.0000,164.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
4,RGBproduct,BACC_LYR_20200103_083750.png,BACC_NYA_20200103_083750.png,2020-01-03 08:37:50,76.6,77.6,8.0,16.6,27,153.5556,32.0160,6.1615,147.2593,35.1268,6.7602,150.4074,33.4402,4.5506,174.0000,166.0000,166.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
5,greyscale,BACC_LYR_20200103_083751.png,BACC_NYA_20200103_083751.png,2020-01-03 08:37:51,76.6,77.6,8.0,16.6,30,143.6000,34.2180,6.2473,140.9333,36.3270,6.6324,142.2667,35.0137,4.5203,162.0000,166.0000,164.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
5,RGBproduct,BACC_LYR_20200103_083751.png,BACC_NYA_20200103_083751.png,2020-01-03 08:37:51,76.6,77.6,8.0,16.6,20,158.5000,25.6279,5.7306,155.3000,31.5580,7.0566,156.9000,28.4216,4.4938,170.0000,166.0000,166.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
6,greyscale,BACC_LYR_20200103_083752.png,BACC_NYA_20200103_083752.png,2020-01-03 08:37:52,76.6,77.6,8.0,16.6,28,151.7143,30.0947,5.6874,143.0714,39.2352,7.4148,147.3929,34.9190,4.6662,176.0000,166.0000,166.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
6,RGBproduct,BACC_LYR_20200103_083752.png,BACC_NYA_20200103_083752.png,2020-01-03 08:37:52,76.6,77.6,8.0,16.6,21,161.9048,24.1120,5.2617,158.3810,30.5131,6.6585,160.1429,27.2205,4.2002,174.0000,166.0000,174.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
7,greyscale,BACC_LYR_20200103_083753.png,BACC_NYA_20200103_083753.png,2020-01-03 08:37:53,76.6,77.6,8.0,16.6,30,157.1333,24.5325,4.4790,152.3333,32.1208,5.8644,154.7333,28.4396,3.6715,164.0000,168.0000,168.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
7,RGBproduct,BACC_LYR_20200103_083753.png,BACC_NYA_20200103_083753.png,2020-01-03 08:37:53,76.6,77.6,8.0,16.6,26,162.3846,19.5143,3.8271,159.1538,25.0961,4.9218,160.7692,22.3173,3.0949,166.0000,166.0000,166.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
8,greyscale,BACC_LYR_20200103_083754.png,BACC_NYA_20200103_083754.png,2020-01-03 08:37:54,76.6,77.6,8.0,16.6,35,150.9714,27.3297,4.6196,144.5714,35.4884,5.9986,147.7714,31.6073,3.7778,170.0000,166.0000,166.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
8,RGBproduct,BACC_LYR_20200103_083754.png,BACC_NYA_20200103_083754.png,2020-01-03 08:37:54,76.6,77.6,8.0,16.6,27,159.8519,25.5158,4.9105,154.6667,33.9321,6.5302,157.2593,29.8507,4.0622,170.0000,166.0000,170.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
9,greyscale,BACC_LYR_20200103_083755.png,BACC_NYA_20200103_083755.png,2020-01-03 08:37:55,76.6,77.6,8.0,16.6,31,168.0000,20.4874,3.6796,161.8065,25.2368,4.5327,164.9032,23.0087,2.9221,174.0000,166.0000,168.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
9,RGBproduct,BACC_LYR_20200103_083755.png,BACC_NYA_20200103_083755.png,2020-01-03 08:37:55,76.6,77.6,8.0,16.6,26,168.1538,20.8225,4.0836,161.1538,28.1037,5.5116,164.6538,24.7425,3.4312,174.0000,166.0000,170.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
10,greyscale,BACC_LYR_20200103_083756.png,BACC_NYA_20200103_083756.png,2020-01-03 08:37:56,76.6,77.6,8.0,16.6,42,152.7619,30.1992,4.6598,145.4762,35.0082,5.4019,149.1190,32.7007,3.5679,172.0000,168.0000,172.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
10,RGBproduct,BACC_LYR_20200103_083756.png,BACC_NYA_20200103_083756.png,2020-01-03 08:37:56,76.6,77.6,8.0,16.6,33,155.8182,31.5014,5.4837,151.6364,32.4710,5.6525,153.7273,31.8127,3.9159,172.0000,166.0000,172.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
11,greyscale,BACC_LYR_20200103_083757.png,BACC_NYA_20200103_083757.png,2020-01-03 08:37:57,76.6,77.6,8.0,16.6,43,157.3953,34.8481,5.3143,147.3023,33.9127,5.1716,152.3488,34.5556,3.7262,174.0000,160.0000,168.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
11,RGBproduct,BACC_LYR_20200103_083757.png,BACC_NYA_20200103_083757.png,2020-01-03 08:37:57,76.6,77.6,8.0,16.6,30,153.3333,33.8163,6.1740,145.7333,32.9377,6.0136,149.5333,33.3169,4.3012,172.0000,160.0000,160.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
12,greyscale,BACC_LYR_20200103_083758.png,BACC_NYA_20200103_083758.png,2020-01-03 08:37:58,76.6,77.6,8.0,16.6,48,145.7917,28.8363,4.1622,140.1667,32.1429,4.6394,142.9792,30.5045,3.1134,160.0000,158.0000,160.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
12,RGBproduct,BACC_LYR_20200103_083758.png,BACC_NYA_20200103_083758.png,2020-01-03 08:37:58,76.6,77.6,8.0,16.6,41,145.3659,30.0148,4.6875,139.7073,34.8900,5.4489,142.5366,32.4673,3.5854,172.0000,160.0000,172.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
13,greyscale,BACC_LYR_20200103_083759.png,BACC_NYA_20200103_083759.png,2020-01-03 08:37:59,76.6,77.6,8.0,16.6,42,155.7143,25.2850,3.9016,151.6667,26.9848,4.1638,153.6905,26.0703,2.8445,170.0000,158.0000,168.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/greyscale
13,RGBproduct,BACC_LYR_20200103_083759.png,BACC_NYA_20200103_083759.png,2020-01-03 08:37:59,76.6,77.6,8.0,16.6,38,148.6842,24.4475,3.9659,147.4211,26.8365,4.3535,148.0526,25.5060,2.9257,162.0000,160.0000,160.0000,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 30seconds/RGBproduct
