iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,77.6663,13.7640,105.00,157.00,156.41,162.61,0.2861,0,correlation 0.29 <= 0.7
2,77.7391,13.8135,147.00,143.00,168.35,158.16,0.5769,0,correlation 0.58 <= 0.7
2,77.7027,13.7171,129.00,153.00,168.74,160.81,0.4986,0,correlation 0.50 <= 0.7
2,77.6922,13.7173,133.00,153.00,165.45,161.41,0.4398,0,correlation 0.44 <= 0.7
2,77.7610,13.8334,143.00,139.00,171.98,160.17,0.7204,0,centroids differ by 11.8 km
2,77.6681,13.7215,107.00,155.00,159.32,163.34,0.2815,0,correlation 0.28 <= 0.7
2,77.7286,13.7555,143.00,147.00,170.90,160.65,0.6343,0,correlation 0.63 <= 0.7
2,77.6677,13.7153,107.00,153.00,159.64,163.51,0.2795,0,correlation 0.28 <= 0.7
2,77.7041,13.7390,129.00,151.00,167.28,161.12,0.5031,0,correlation 0.50 <= 0.7
2,77.6971,13.7398,131.00,153.00,165.06,161.30,0.4430,0,correlation 0.44 <= 0.7
2,77.6739,13.7814,103.00,157.00,156.51,162.37,0.3301,0,correlation 0.33 <= 0.7
2,77.7442,13.7696,149.00,143.00,173.03,158.73,0.6114,0,correlation 0.61 <= 0.7
2,77.7231,13.8338,121.00,145.00,164.33,158.89,0.5465,0,correlation 0.55 <= 0.7
2,77.6736,13.8114,101.00,155.00,154.70,162.93,0.3423,0,correlation 0.34 <= 0.7
2,77.7636,13.8018,155.00,139.00,175.16,158.17,0.6000,0,correlation 0.60 <= 0.7
2,77.6770,13.7348,113.00,156.00,160.14,162.28,0.3569,0,correlation 0.36 <= 0.7
2,77.7151,13.7357,127.00,149.00,169.99,160.71,0.5605,0,correlation 0.56 <= 0.7
2,77.6689,13.7589,105.00,157.00,157.03,162.46,0.2967,0,correlation 0.30 <= 0.7
2,77.7065,13.7343,127.00,151.00,168.31,160.97,0.5184,0,correlation 0.52 <= 0.7
2,77.7150,13.7181,159.00,151.00,171.26,160.50,0.5397,0,correlation 0.54 <= 0.7
2,77.7515,13.7198,151.00,143.00,178.55,159.54,0.5520,0,correlation 0.55 <= 0.7
2,77.7336,13.7471,153.00,147.00,172.05,160.10,0.6324,0,correlation 0.63 <= 0.7
2,77.7011,13.7407,129.00,153.00,166.23,161.23,0.4741,0,correlation 0.47 <= 0.7
2,77.6843,13.8314,101.00,153.00,154.92,162.75,0.3468,0,correlation 0.35 <= 0.7
