iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.5848,9.8848,133.00,127.00,153.28,163.90,0.7379,0,centroids differ by 10.6 km
2,78.5293,9.9440,117.00,121.00,151.39,162.73,0.7333,0,NYA peak not clear against upper and lower means
2,78.5236,9.8967,119.00,123.00,151.54,162.83,0.7702,0,NYA peak not clear against upper and lower means
2,78.5112,9.9809,117.00,115.00,150.59,163.95,0.8521,0,centroids differ by 13.4 km
2,78.5858,9.9529,131.00,155.00,152.70,163.13,0.7713,0,centroids differ by 10.4 km
2,78.5059,9.9523,121.00,118.00,150.67,164.23,0.8435,0,centroids differ by 13.6 km
2,78.5034,9.9878,119.00,117.00,150.34,165.10,0.6123,0,correlation 0.61 <= 0.7
2,78.5820,9.9386,131.00,157.00,152.80,163.10,0.7566,0,centroids differ by 10.3 km
2,78.5939,10.0112,135.00,121.00,152.24,162.89,0.8109,0,centroids differ by 10.7 km
2,78.5488,9.9669,119.00,139.03,151.80,162.78,0.8446,0,centroids differ by 11.0 km
2,78.5368,9.9284,120.00,125.00,151.76,162.82,0.8426,0,NYA peak not clear against upper and lower means
2,78.5714,9.9225,131.00,165.00,152.68,162.97,0.7354,0,centroids differ by 10.3 km
2,78.5178,9.8900,119.00,97.00,151.44,162.92,0.7444,0,NYA peak not clear against upper and lower means
2,78.5060,9.8993,121.00,119.00,151.03,163.64,0.8534,0,centroids differ by 12.6 km
2,78.5783,9.8859,131.00,161.00,153.13,163.51,0.7305,0,centroids differ by 10.4 km
2,78.5949,10.0087,135.00,121.00,152.27,163.00,0.8170,0,centroids differ by 10.7 km
2,78.5668,10.0318,117.00,109.00,151.77,162.23,0.7615,0,centroids differ by 10.5 km
2,78.5916,9.9238,133.00,125.00,152.99,163.92,0.7707,0,centroids differ by 10.9 km
2,78.5963,9.9539,133.00,123.00,152.74,163.93,0.7937,0,centroids differ by 11.2 km
2,78.5334,9.8890,117.00,129.00,151.90,163.01,0.8568,0,NYA peak not clear against upper and lower means
2,78.5598,10.0081,119.00,113.00,151.75,162.47,0.7977,0,centroids differ by 10.7 km
2,78.5441,10.0125,119.00,121.00,151.34,162.53,0.7907,0,NYA peak not clear against upper and lower means
2,78.5742,9.8928,131.00,161.00,152.97,163.29,0.7275,0,centroids differ by 10.3 km
2,78.5062,10.0112,117.00,115.00,150.25,165.02,0.6261,0,correlation 0.63 <= 0.7
2,78.5847,9.9220,131.00,127.00,152.97,163.43,0.7594,0,centroids differ by 10.5 km
2,78.5759,10.0203,129.00,155.00,152.02,162.32,0.7620,0,centroids differ by 10.3 km
2,78.5676,9.9923,129.00,113.00,152.08,162.48,0.7541,0,centroids differ by 10.4 km
2,78.5822,10.0110,131.00,156.00,152.13,162.45,0.7711,0,centroids differ by 10.3 km
2,78.5649,10.0318,117.00,111.00,151.71,162.25,0.7724,0,centroids differ by 10.5 km
2,78.5881,9.9651,131.00,125.00,152.58,163.12,0.7833,0,centroids differ by 10.5 km
2,78.5061,9.9772,119.00,117.00,150.50,164.55,0.7813,0,centroids differ by 14.1 km
2,78.5514,9.9028,121.00,117.00,152.34,163.10,0.7905,0,centroids differ by 10.8 km
2,78.5124,9.9067,119.00,117.00,151.17,163.20,0.7631,0,centroids differ by 12.0 km
2,78.5632,9.9747,129.00,114.00,152.09,162.60,0.7600,0,centroids differ by 10.5 km
2,78.5893,10.0270,131.00,149.00,152.03,162.46,0.7889,0,centroids differ by 10.4 km
2,78.5115,9.9864,117.00,115.00,150.56,163.98,0.8523,0,centroids differ by 13.4 km
2,78.5067,9.6394,125.00,145.00,152.82,163.85,0.7984,0,centroids differ by 11.0 km
2,78.5087,9.6659,125.00,143.00,152.71,163.72,0.8241,0,centroids differ by 11.0 km
2,78.5082,9.6891,125.00,143.00,152.53,163.47,0.8624,0,centroids differ by 10.9 km
2,78.4989,9.6674,128.00,139.00,152.41,163.19,0.9085,0,centroids differ by 10.8 km
2,78.5289,9.6564,127.00,133.00,153.33,164.51,0.6502,0,correlation 0.65 <= 0.7
2,78.4899,9.6141,129.00,143.00,152.63,163.23,0.9349,0,centroids differ by 10.6 km
2,78.4876,9.6813,127.00,107.00,152.04,163.46,0.9493,0,centroids differ by 11.4 km
2,78.5341,9.5871,128.00,195.00,153.93,164.92,0.3926,0,correlation 0.39 <= 0.7
2,78.5449,9.6611,123.00,187.00,153.74,164.67,0.4958,0,correlation 0.50 <= 0.7
2,78.4882,9.6597,129.00,109.00,152.22,163.31,0.9553,0,centroids differ by 11.1 km
2,78.4985,9.6571,127.00,126.83,152.48,163.23,0.9067,0,centroids differ by 10.7 km
