iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.0138,14.6538,164.21,155.00,173.02,150.98,0.2450,0,correlation 0.24 <= 0.7
2,78.0050,14.6673,151.00,125.00,168.68,151.54,0.4739,0,correlation 0.47 <= 0.7
2,78.0709,14.7610,181.00,127.00,186.91,148.30,-0.3833,0,correlation -0.38 <= 0.7
2,77.9809,14.7467,132.68,129.00,156.06,154.00,0.7413,0,centroids differ by 2.1 km
2,78.0783,14.6812,195.00,127.00,193.02,147.86,-0.6783,0,correlation -0.68 <= 0.7
2,77.9951,14.7720,134.43,127.00,157.73,151.65,0.6725,0,correlation 0.67 <= 0.7
2,78.0032,14.7610,147.00,130.00,162.16,152.51,0.7268,0,centroids differ by 9.6 km
2,78.0533,14.6902,183.07,134.00,185.30,149.97,-0.3995,0,correlation -0.40 <= 0.7
2,78.0554,14.7219,178.00,133.00,184.36,149.44,-0.3535,0,correlation -0.35 <= 0.7
2,78.0314,14.7797,165.00,146.38,171.59,151.88,0.3013,0,correlation 0.30 <= 0.7
2,77.9823,14.7379,133.00,131.87,156.77,153.29,0.7434,0,centroids differ by 3.5 km
2,78.0024,14.6616,160.49,125.00,168.61,151.64,0.4915,0,correlation 0.49 <= 0.7
2,78.0009,14.7218,143.00,130.24,163.94,152.16,0.6376,0,correlation 0.64 <= 0.7
2,78.0694,14.7656,187.00,129.00,186.07,147.31,-0.3821,0,correlation -0.38 <= 0.7
2,78.0260,14.7118,167.00,133.00,172.72,151.70,0.2867,0,correlation 0.29 <= 0.7
2,78.0569,14.7021,179.00,135.86,185.96,150.26,-0.4092,0,correlation -0.41 <= 0.7
2,78.0708,14.7438,187.00,129.00,187.72,147.67,-0.5119,0,correlation -0.51 <= 0.7
2,78.0195,14.7001,159.00,126.02,172.90,150.48,0.2341,0,correlation 0.23 <= 0.7
2,78.0725,14.7269,193.00,137.46,189.31,148.30,-0.6021,0,correlation -0.60 <= 0.7
2,78.0482,14.6330,185.00,121.00,186.80,149.33,-0.4731,0,correlation -0.47 <= 0.7
2,78.0406,14.7464,169.00,144.53,175.90,151.27,0.1082,0,correlation 0.11 <= 0.7
2,78.0252,14.7761,159.00,144.09,169.00,152.08,0.4825,0,correlation 0.48 <= 0.7
2,78.0243,14.7587,151.00,127.00,169.29,151.48,0.4853,0,correlation 0.49 <= 0.7
2,78.0125,14.7545,151.00,135.00,166.38,153.26,0.6139,0,correlation 0.61 <= 0.7
2,78.0080,14.7030,147.00,132.00,167.80,151.09,0.4714,0,correlation 0.47 <= 0.7
2,78.0287,14.7423,165.00,142.61,172.16,150.85,0.2962,0,correlation 0.30 <= 0.7
2,78.0209,14.7053,159.00,126.00,172.64,151.00,0.2136,0,correlation 0.21 <= 0.7
2,78.0064,14.6490,161.00,132.21,170.33,151.18,0.3521,0,correlation 0.35 <= 0.7
2,77.9875,14.6370,153.00,152.00,164.85,155.01,0.7330,0,centroids differ by 9.8 km
2,78.0775,14.6842,201.00,127.00,192.59,147.91,-0.6664,0,correlation -0.67 <= 0.7
2,78.0374,14.7575,167.00,149.00,174.34,151.99,0.1890,0,correlation 0.19 <= 0.7
2,78.0137,14.7025,161.64,146.62,170.38,150.65,0.3779,0,correlation 0.38 <= 0.7
2,78.0642,14.6486,185.00,132.00,190.12,149.68,-0.5850,0,correlation -0.59 <= 0.7
2,78.0288,14.6370,177.00,123.19,179.13,148.61,-0.1789,0,correlation -0.18 <= 0.7
2,78.0637,14.7111,177.00,129.00,187.91,149.18,-0.5280,0,correlation -0.53 <= 0.7
2,77.9966,14.6692,146.60,132.14,165.77,152.18,0.5518,0,correlation 0.55 <= 0.7
2,78.1118,15.4054,151.00,139.27,164.10,150.62,0.4760,0,correlation 0.48 <= 0.7
2,78.0775,15.3178,121.00,149.00,155.34,152.88,0.6655,0,correlation 0.67 <= 0.7
2,78.0922,15.2802,157.00,109.00,165.01,152.03,0.4609,0,correlation 0.46 <= 0.7
2,78.0620,15.4087,105.43,153.00,145.00,154.45,0.5288,0,correlation 0.53 <= 0.7
2,78.0885,15.3590,129.61,147.00,159.32,151.04,0.6449,0,correlation 0.64 <= 0.7
2,78.1047,15.2791,159.00,145.00,169.84,150.12,0.2721,0,correlation 0.27 <= 0.7
2,78.1009,15.3889,133.00,143.00,161.18,151.34,0.5711,0,correlation 0.57 <= 0.7
2,78.0581,15.3207,121.00,123.00,149.24,153.27,0.7129,0,centroids differ by 4.0 km
2,78.1339,15.4153,167.00,142.37,172.87,150.53,-0.1565,0,correlation -0.16 <= 0.7
2,78.1193,15.4202,149.00,141.00,166.19,152.52,0.3185,0,correlation 0.32 <= 0.7
2,78.0628,15.3629,107.00,108.00,148.03,154.65,0.6603,0,correlation 0.66 <= 0.7
2,78.0589,15.4086,99.00,152.00,139.02,156.15,0.2260,0,correlation 0.23 <= 0.7
2,78.0652,15.3260,113.00,150.26,151.29,150.81,0.3387,0,correlation 0.34 <= 0.7
2,78.0889,15.3137,134.00,152.00,162.61,151.35,0.5059,0,correlation 0.51 <= 0.7
2,78.0724,15.3820,131.00,111.00,150.57,152.72,0.6655,0,correlation 0.67 <= 0.7
2,78.0707,15.3563,113.00,151.00,150.62,154.38,0.6538,0,correlation 0.65 <= 0.7
2,78.1106,15.2762,157.00,127.48,170.88,149.80,0.1263,0,correlation 0.13 <= 0.7
2,78.0598,15.3248,121.00,112.00,149.14,153.38,0.6336,0,correlation 0.63 <= 0.7
2,78.0692,15.2738,127.00,108.53,155.64,151.96,0.6923,0,correlation 0.69 <= 0.7
2,78.1393,15.3188,179.00,99.00,176.53,149.69,-0.3180,0,correlation -0.32 <= 0.7
2,78.0597,15.3426,115.00,128.00,148.79,154.30,0.5978,0,correlation 0.60 <= 0.7
2,78.0702,15.3268,115.00,157.00,150.88,155.14,0.4598,0,correlation 0.46 <= 0.7
2,78.1387,15.3511,169.00,127.00,176.04,148.41,-0.2935,0,correlation -0.29 <= 0.7
2,78.1260,15.2769,160.00,145.00,175.60,150.00,-0.2127,0,correlation -0.21 <= 0.7
2,78.0927,15.4148,126.94,151.00,156.29,151.64,0.6284,0,correlation 0.63 <= 0.7
2,78.1448,15.3041,183.00,115.00,179.46,149.73,-0.3879,0,correlation -0.39 <= 0.7
2,78.0806,15.2851,125.00,119.29,155.37,154.34,0.2806,0,correlation 0.28 <= 0.7
2,78.1073,15.3634,140.06,149.00,165.39,152.04,0.4291,0,correlation 0.43 <= 0.7
