iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.6316,12.5672,123.00,103.00,158.48,159.69,0.4633,0,correlation 0.46 <= 0.7
2,78.6462,12.5298,123.00,87.00,159.65,159.08,0.1499,0,correlation 0.15 <= 0.7
2,78.6277,12.5652,123.00,107.00,158.14,159.86,0.5892,0,correlation 0.59 <= 0.7
2,78.6472,12.5658,123.00,85.00,159.82,159.08,0.0859,0,correlation 0.09 <= 0.7
2,78.5738,12.6033,113.00,173.00,153.23,164.13,0.4315,0,correlation 0.43 <= 0.7
2,78.5981,12.5151,115.00,147.00,155.26,161.43,0.8383,0,centroids differ by 6.2 km
2,78.5823,12.6288,111.00,167.00,154.17,163.31,0.6650,0,correlation 0.67 <= 0.7
2,78.6253,12.5663,120.00,113.00,157.93,160.01,0.6651,0,correlation 0.67 <= 0.7
2,78.5670,12.5309,113.00,177.00,152.02,165.48,-0.1075,0,correlation -0.11 <= 0.7
2,78.6077,12.6092,117.00,131.00,156.44,161.27,0.9006,0,centroids differ by 4.8 km
2,78.5872,12.5884,113.00,159.00,154.48,162.72,0.7598,0,centroids differ by 8.2 km
2,78.6116,12.5135,117.00,139.00,156.51,160.31,0.8481,0,centroids differ by 3.8 km
2,78.6307,12.6575,117.00,103.00,158.65,159.93,0.4348,0,correlation 0.43 <= 0.7
2,78.5973,12.5187,115.00,147.00,155.19,161.53,0.8355,0,centroids differ by 6.3 km
2,78.6127,12.6405,119.00,125.00,156.99,161.10,0.9097,0,centroids differ by 4.1 km
2,78.6535,12.5296,127.00,80.00,160.28,159.13,0.0507,0,correlation 0.05 <= 0.7
2,78.6327,12.6394,120.83,101.00,158.77,159.83,0.3827,0,correlation 0.38 <= 0.7
2,78.6502,12.5554,121.00,80.00,160.05,159.08,0.0612,0,correlation 0.06 <= 0.7
2,78.6136,12.5873,120.00,125.00,156.91,160.80,0.8787,0,centroids differ by 3.9 km
2,78.6386,12.5205,125.00,97.00,158.97,159.20,0.3153,0,correlation 0.32 <= 0.7
2,78.6056,12.5138,115.00,141.00,155.96,160.77,0.8589,0,centroids differ by 4.8 km
2,78.6202,12.6229,121.00,115.00,157.60,160.55,0.7816,0,centroids differ by 2.9 km
2,78.6086,12.6083,117.00,129.00,156.51,161.22,0.9022,0,centroids differ by 4.7 km
2,78.5829,12.5999,113.00,163.00,154.13,163.15,0.6864,0,correlation 0.69 <= 0.7
2,78.6555,12.5658,127.00,80.00,160.53,159.53,0.0388,0,correlation 0.04 <= 0.7
2,78.6129,12.6255,119.00,125.00,156.97,161.04,0.9035,0,centroids differ by 4.1 km
2,78.5934,12.6097,113.00,159.00,155.13,162.27,0.8172,0,centroids differ by 7.1 km
2,78.6584,12.6442,123.63,83.00,161.12,161.28,-0.0127,0,correlation -0.01 <= 0.7
2,78.5850,12.6452,111.00,167.00,154.47,163.16,0.6809,0,correlation 0.68 <= 0.7
2,78.5820,12.6210,111.00,165.00,154.12,163.30,0.6664,0,correlation 0.67 <= 0.7
2,78.6591,12.6549,121.00,82.00,161.23,161.62,-0.0448,0,correlation -0.04 <= 0.7
2,78.6463,12.6377,125.00,87.00,159.96,159.50,0.1060,0,correlation 0.11 <= 0.7
2,78.5663,12.5665,113.00,177.00,152.13,165.35,-0.0556,0,correlation -0.06 <= 0.7
2,78.6634,12.5787,127.00,80.00,161.30,161.10,0.0094,0,correlation 0.01 <= 0.7
2,78.5986,12.6561,115.00,167.00,155.74,162.10,0.8659,0,centroids differ by 6.4 km
2,78.6454,12.5537,123.00,89.00,159.64,159.14,0.1320,0,correlation 0.13 <= 0.7
2,78.3064,1.7734,100.00,163.00,174.94,167.71,-0.0578,0,correlation -0.06 <= 0.7
2,78.2833,1.7775,117.00,167.00,174.79,168.51,-0.7790,0,correlation -0.78 <= 0.7
2,78.3795,1.8502,146.00,139.00,170.89,164.74,0.6599,0,correlation 0.66 <= 0.7
2,78.3073,1.7557,100.00,163.00,174.95,167.66,-0.0232,0,correlation -0.02 <= 0.7
2,78.3350,1.8335,169.00,149.00,174.23,166.82,0.7494,0,centroids differ by 7.4 km
2,78.3088,1.8587,202.61,163.00,174.87,167.63,0.0937,0,correlation 0.09 <= 0.7
2,78.3108,1.8025,201.00,162.00,174.90,167.55,0.1561,0,correlation 0.16 <= 0.7
2,78.3183,1.8586,175.00,157.00,174.74,167.30,0.4662,0,correlation 0.47 <= 0.7
2,78.3308,1.7972,169.00,151.00,174.43,166.92,0.6975,0,correlation 0.70 <= 0.7
2,78.2983,1.8652,100.00,163.00,174.89,167.99,-0.3818,0,correlation -0.38 <= 0.7
2,78.3038,1.8325,100.00,163.00,174.92,167.81,-0.1527,0,correlation -0.15 <= 0.7
2,78.3520,1.8576,153.00,141.00,173.29,166.07,0.8018,0,centroids differ by 7.2 km
2,78.3670,1.8945,149.00,141.00,171.96,165.46,0.7661,0,centroids differ by 6.5 km
2,78.2959,1.8698,100.00,163.00,174.88,168.06,-0.4669,0,correlation -0.47 <= 0.7
2,78.3328,1.7543,171.00,151.00,174.41,166.81,0.6977,0,correlation 0.70 <= 0.7
2,78.3618,1.8571,151.81,141.00,172.54,165.59,0.7854,0,centroids differ by 6.9 km
2,78.3396,1.7557,169.00,151.00,174.16,166.48,0.7513,0,centroids differ by 7.7 km
2,78.3621,1.8139,152.00,141.00,172.62,165.46,0.7786,0,centroids differ by 7.2 km
2,78.3431,1.8812,153.00,149.00,173.79,166.55,0.8015,0,centroids differ by 7.2 km
2,78.3614,1.8062,152.00,141.00,172.69,165.47,0.7792,0,centroids differ by 7.2 km
2,78.3326,1.7897,169.00,151.00,174.38,166.86,0.7123,0,centroids differ by 7.5 km
2,78.3486,1.8402,153.00,143.00,173.56,166.20,0.7994,0,centroids differ by 7.4 km
2,78.3447,1.8194,153.00,147.00,173.82,166.35,0.7896,0,centroids differ by 7.5 km
2,78.3175,1.7507,177.00,169.00,174.84,167.30,0.3894,0,correlation 0.39 <= 0.7
